							Chlamydophila psittaci 01DC11		NrdB				1	1
							Chlamydophila psittaci 01DC11		NrdBc				1	1
							Chlamydophila psittaci 01DC11		NrdA				1	1
							Chlamydophila psittaci 01DC11		NrdAc				1	1
							Enterobacter aerogenes KCTC 2190		NrdBg				1	1
							Enterobacter aerogenes KCTC 2190		NrdB				2	1
							Enterobacter aerogenes KCTC 2190		NrdF				1	1
							Enterobacter aerogenes KCTC 2190		NrdF1				1	1
							Enterobacter aerogenes KCTC 2190		NrdA				2	1
							Enterobacter aerogenes KCTC 2190		NrdD				1	1
							Enterobacter aerogenes KCTC 2190		NrdDc1				1	1
							Enterobacter aerogenes KCTC 2190		NrdAg				1	1
							Enterobacter aerogenes KCTC 2190		NrdE				1	1
							Enterobacter aerogenes KCTC 2190		NrdE1				1	1
							Enterobacter aerogenes KCTC 2190		NrdDc				1	1
							Enterobacter aerogenes		NrdBg				1	1
							Enterobacter aerogenes		NrdB				2	1
							Enterobacter aerogenes		NrdF				1	1
							Enterobacter aerogenes		NrdF1				1	1
							Enterobacter aerogenes		NrdA				2	1
							Enterobacter aerogenes		NrdD				1	1
							Enterobacter aerogenes		NrdDc1				1	1
							Enterobacter aerogenes		NrdAg				1	1
							Enterobacter aerogenes		NrdE				1	1
							Enterobacter aerogenes		NrdE1				1	1
							Enterobacter aerogenes		NrdDc				1	1
							Staphylococcus aureus subsp. aureus VC40		NrdB				1	1
							Staphylococcus aureus subsp. aureus VC40		NrdF				1	1
							Staphylococcus aureus subsp. aureus VC40		NrdA				1	1
							Staphylococcus aureus subsp. aureus VC40		NrdD				1	1
